question_id,section,type,passage_id,discipline,foundational_concept,content_category,scientific_skill,difficulty,keep_revise_replace,notes
mcat1-cp-001,chem-phys,passage,cp-p1,General Chemistry,FC 5,Intermolecular forces and properties of solutions,Skill 2,medium,keep,
mcat1-cp-002,chem-phys,passage,cp-p1,General Chemistry,FC 5,Acid-base equilibria,Skill 4,medium,keep,
mcat1-cp-003,chem-phys,passage,cp-p1,General Chemistry,FC 5,Acid-base equilibria,Skill 2,medium,keep,
mcat1-cp-004,chem-phys,passage,cp-p1,General Chemistry,FC 5,Acid-base equilibria,Skill 2,hard,keep,
mcat1-cp-005,chem-phys,passage,cp-p1,General Chemistry,FC 5,Acid-base equilibria,Skill 2,easy,keep,
mcat1-cp-006,chem-phys,passage,cp-p2,Biochemistry,FC 1,Enzyme structure and function,Skill 4,medium,keep,
mcat1-cp-007,chem-phys,passage,cp-p2,Biochemistry,FC 1,Enzyme structure and function,Skill 4,medium,keep,
mcat1-cp-008,chem-phys,passage,cp-p2,Biochemistry,FC 1,Enzyme structure and function,Skill 1,easy,keep,
mcat1-cp-009,chem-phys,passage,cp-p2,Biochemistry,FC 1,Enzyme structure and function,Skill 2,hard,keep,
mcat1-cp-010,chem-phys,passage,cp-p2,Biochemistry,FC 1,Enzyme structure and function,Skill 3,hard,keep,
mcat1-cp-011,chem-phys,passage,cp-p3,Physics,FC 4,Fluid statics and dynamics,Skill 2,medium,keep,
mcat1-cp-012,chem-phys,passage,cp-p3,Physics,FC 4,Fluid statics and dynamics,Skill 1,medium,keep,
mcat1-cp-013,chem-phys,passage,cp-p3,Physics,FC 4,Fluid statics and dynamics,Skill 4,hard,keep,
mcat1-cp-014,chem-phys,passage,cp-p3,Biology,FC 4,Circulatory system,Skill 2,easy,keep,
mcat1-cp-015,chem-phys,passage,cp-p3,Physics,FC 4,Fluid statics and dynamics,Skill 2,medium,keep,
mcat1-cp-021,chem-phys,passage,cp-p4,Physics,FC 4,Electrochemistry,Skill 2,medium,keep,
mcat1-cp-022,chem-phys,passage,cp-p4,Biology,FC 4,Nervous system,Skill 2,hard,keep,
mcat1-cp-023,chem-phys,passage,cp-p4,Physics,FC 4,Electrochemistry,Skill 2,medium,keep,
mcat1-cp-024,chem-phys,passage,cp-p4,Biology,FC 4,Nervous system,Skill 2,medium,keep,
mcat1-cp-025,chem-phys,passage,cp-p4,Biology,FC 4,Nervous system,Skill 3,hard,keep,
mcat1-cp-026,chem-phys,passage,cp-p5,General Chemistry,FC 4,Spectroscopy,Skill 4,medium,keep,
mcat1-cp-027,chem-phys,passage,cp-p5,General Chemistry,FC 4,Spectroscopy,Skill 1,easy,keep,
